jenis_sepatu,suhu_awal,kelembapan_awal,suhu_akhir,kelembapan_akhir,lama_pengeringan
Canvas,24.1,88.0,47.9,7.6,190
Canvas,24.2,91.2,48.2,7.4,193
Canvas,24.1,88.7,48.2,9.3,181
Canvas,24.1,88.3,47.3,8.9,191
Canvas,24.0,91.4,47.3,7.7,196
Canvas,24.2,88.3,47.8,5.4,193
Canvas,24.1,91.9,47.6,6.6,191
Canvas,24.0,89.4,47.2,5.3,191
Canvas,24.1,90.6,47.9,5.0,178
Canvas,24.0,90.6,47.5,5.0,196
Canvas,24.1,88.3,48.0,7.9,188
Canvas,24.2,90.9,48.1,7.5,190
Canvas,24.1,90.9,46.8,6.0,195
Canvas,24.2,90.9,48.3,8.7,195
Canvas,24.2,90.3,47.8,5.8,195
Canvas,24.1,90.8,47.0,6.0,192
Canvas,24.0,89.7,48.3,7.5,180
Canvas,24.0,88.3,47.9,6.9,188
Canvas,24.2,89.1,47.9,6.3,192
Canvas,24.2,90.5,47.1,6.3,199
Canvas,24.0,90.3,47.0,8.2,192
Canvas,24.2,91.0,48.0,5.9,190
Canvas,24.1,89.7,46.6,6.3,197
Canvas,24.0,91.4,47.0,7.7,199
Canvas,24.1,91.5,48.3,6.6,186
Canvas,24.2,91.9,48.2,9.1,191
Canvas,24.0,88.4,48.5,6.6,173
Canvas,24.1,91.1,48.2,9.9,182
Canvas,24.0,89.4,48.1,7.8,184
Canvas,24.1,90.6,47.0,5.1,201
Canvas,24.2,88.2,48.2,8.0,190
Canvas,24.1,90.4,48.2,7.9,187
Canvas,24.2,89.7,47.9,6.9,188
Canvas,24.0,90.3,48.4,9.6,186
Canvas,24.0,91.9,48.5,8.2,175
Canvas,24.2,90.8,47.7,5.3,201
Canvas,24.1,89.5,48.4,5.8,181
Canvas,24.1,90.7,47.9,8.2,186
Canvas,24.1,90.3,46.9,8.5,195
Canvas,24.1,90.6,48.2,5.8,194
Canvas,24.2,91.1,48.4,7.6,190
Canvas,24.1,89.6,46.8,7.8,200
Canvas,24.1,90.3,47.2,5.3,194
Canvas,24.0,89.7,46.7,8.0,193
Canvas,24.2,91.5,46.9,8.6,202
Canvas,24.1,91.1,48.5,5.1,186
Canvas,24.2,89.8,48.2,5.3,190
Canvas,24.1,88.3,48.5,9.0,179
Canvas,24.0,88.8,47.0,7.3,191
Canvas,24.1,88.4,46.8,5.7,196
Canvas,24.1,91.1,47.2,6.5,199
Canvas,24.0,88.5,47.0,6.7,192
Canvas,24.0,91.2,46.8,6.7,201
Canvas,24.2,88.6,46.7,7.4,200
Canvas,24.2,88.5,47.7,7.5,179
Canvas,24.0,90.4,47.0,7.4,197
Canvas,24.1,91.2,46.6,7.1,198
Canvas,24.1,90.8,47.6,8.3,195
Canvas,24.1,90.1,48.2,9.8,188
Canvas,24.2,89.4,46.9,7.4,196
Canvas,24.1,91.3,47.2,9.2,202
Canvas,24.1,89.3,47.4,8.7,191
Canvas,24.2,88.7,47.6,7.8,188
Canvas,24.1,90.5,47.0,7.7,202
Canvas,24.0,90.2,46.9,6.4,192
Canvas,24.0,88.7,48.2,6.4,178
Canvas,24.1,91.1,47.2,5.4,197
Canvas,24.1,91.3,48.1,5.9,183
Canvas,24.0,91.4,47.0,6.3,202
Canvas,24.0,91.4,48.1,8.1,186
Canvas,24.1,89.4,46.7,7.4,201
Canvas,24.2,88.2,47.1,6.0,194
Canvas,24.1,89.8,48.0,5.8,186
Canvas,24.1,89.7,47.7,9.9,187
Canvas,24.2,88.7,46.6,6.0,202
Canvas,24.1,90.0,47.7,9.5,193
Canvas,24.0,88.1,47.6,7.1,202
Canvas,24.2,88.6,46.5,7.2,196
Canvas,24.1,89.1,46.8,6.9,199
Canvas,24.2,89.5,48.0,5.6,183
Canvas,24.1,90.2,48.4,6.9,188
Canvas,24.0,88.1,48.2,7.6,179
Canvas,24.1,88.1,48.4,8.3,185
Canvas,24.2,89.0,47.7,8.3,193
Canvas,24.2,91.5,48.0,6.4,187
Canvas,24.1,91.8,46.5,8.5,202
Canvas,24.2,89.2,47.2,5.4,201
Canvas,24.1,89.0,47.2,9.1,196
Canvas,24.0,88.4,46.8,7.9,195
Canvas,24.0,91.8,47.4,7.5,195
Canvas,24.1,90.9,48.0,7.8,181
Canvas,24.2,91.2,48.0,5.3,185
Canvas,24.1,91.4,48.3,9.5,196
Canvas,24.1,90.7,47.0,5.9,195
Canvas,24.1,91.2,46.7,8.6,196
Canvas,24.1,89.1,47.5,6.5,184
Canvas,24.0,88.5,47.6,9.4,199
Canvas,24.1,90.9,47.8,9.6,192
Canvas,24.1,91.5,47.3,6.6,202
Canvas,24.0,91.2,48.1,5.5,183
Canvas,24.0,91.8,46.9,5.3,202
Canvas,24.1,90.9,46.6,8.2,197
Canvas,24.0,90.2,47.1,9.6,196
Canvas,24.2,91.8,47.0,9.8,190
Canvas,24.0,88.2,47.9,7.2,181
Canvas,24.0,90.4,47.0,7.8,202
Canvas,24.2,89.9,47.2,6.8,192
Canvas,24.2,89.3,46.9,5.4,189
Canvas,24.2,88.9,47.3,9.0,178
Canvas,24.2,89.5,47.4,6.5,193
Canvas,24.1,88.1,47.5,7.0,191
Canvas,24.0,90.6,48.4,7.8,183
Canvas,24.1,88.5,47.7,9.6,189
Canvas,24.1,88.3,47.2,7.7,198
Canvas,24.2,90.4,47.2,6.3,194
Canvas,24.0,89.4,47.3,8.3,190
Canvas,24.1,88.7,46.8,9.1,197
Canvas,24.0,89.6,46.8,9.3,190
Canvas,24.1,90.9,48.4,6.1,187
Canvas,24.2,91.6,48.3,8.1,181
Canvas,24.2,90.1,47.9,7.1,197
Canvas,24.1,91.2,46.8,9.1,202
Canvas,24.1,89.5,48.3,6.2,185
Canvas,24.2,89.9,47.5,6.5,183
Canvas,24.0,89.1,46.5,9.8,202
Canvas,24.2,89.5,48.0,6.7,192
Canvas,24.2,89.6,48.1,6.3,189
Canvas,24.2,88.1,47.7,8.2,184
Canvas,24.2,88.7,47.7,6.1,190
Canvas,24.1,90.1,47.3,5.8,192
Canvas,24.2,91.5,46.7,6.9,195
Canvas,24.0,88.1,47.8,8.0,184
Canvas,24.0,91.3,48.4,5.7,183
Canvas,24.0,91.4,48.4,7.1,176
Canvas,24.0,90.3,46.5,8.9,202
Canvas,24.1,88.2,47.7,6.9,188
Canvas,24.1,90.8,47.0,9.4,200
Canvas,24.1,90.1,46.6,7.1,202
Canvas,24.0,88.9,48.1,9.6,187
Canvas,24.0,89.8,47.2,9.3,180
Canvas,24.1,89.5,47.6,5.8,188
Canvas,24.1,91.1,48.0,5.8,187
Canvas,24.1,89.6,47.9,5.3,184
Canvas,24.0,89.5,47.9,5.9,181
Canvas,24.2,91.5,47.1,6.1,202
Canvas,24.1,88.9,47.8,9.0,193
Canvas,24.1,88.6,48.0,6.8,188
Canvas,24.1,89.1,46.7,9.9,202
Canvas,24.2,89.1,47.4,8.0,201
Canvas,24.1,89.7,47.2,7.8,192
Canvas,24.2,90.7,48.1,7.7,190
Canvas,24.2,88.1,48.1,5.2,179
Canvas,24.2,89.0,48.2,5.5,181
Canvas,24.0,91.8,47.8,9.1,198
Canvas,24.1,90.4,47.9,7.8,183
Canvas,24.1,89.1,48.0,6.1,181
Canvas,24.1,90.9,46.9,5.3,202
Canvas,24.0,90.4,48.2,5.2,182
Canvas,24.1,91.6,47.2,7.3,202
Canvas,24.0,88.3,47.0,5.1,189
Canvas,24.1,88.7,47.1,8.3,202
Canvas,24.2,88.2,48.3,7.8,182
Canvas,24.0,88.4,47.7,6.7,202
Canvas,24.2,89.6,46.8,8.5,199
Canvas,24.1,91.5,48.1,8.3,180
Canvas,24.1,91.7,47.1,5.0,194
Canvas,24.1,90.5,47.7,5.1,187
Canvas,24.1,89.3,47.8,7.7,184
Canvas,24.0,91.2,48.3,8.2,185
Canvas,24.0,89.6,48.0,8.8,182
Canvas,24.1,88.1,47.6,9.2,195
Canvas,24.2,90.2,47.5,5.4,182
Canvas,24.1,89.5,47.0,5.5,200
Canvas,24.1,88.4,46.9,9.8,202
Canvas,24.2,91.9,47.7,9.0,181
Canvas,24.1,89.2,47.3,8.3,187
Canvas,24.0,90.5,46.8,7.8,202
Canvas,24.1,90.7,48.0,9.3,197
Canvas,24.1,88.7,46.6,6.4,198
Canvas,24.1,90.4,48.2,6.0,186
Canvas,24.1,90.1,46.7,5.3,194
Canvas,24.0,90.3,47.6,6.1,197
Canvas,24.0,89.9,47.9,6.2,191
Canvas,24.1,90.4,48.3,9.0,193
Canvas,24.1,90.5,47.4,5.9,197
Canvas,24.1,90.2,47.2,9.5,190
Canvas,24.1,89.5,48.0,7.2,193
Canvas,24.1,91.6,47.0,5.6,201
Canvas,24.1,88.2,47.2,7.5,192
Canvas,24.0,90.6,48.5,7.2,178
Canvas,24.0,91.4,47.3,6.9,187
Canvas,24.1,89.7,47.8,5.3,191
Canvas,24.0,89.9,47.7,7.9,191
Canvas,24.1,89.3,46.8,6.9,200
Canvas,24.0,88.2,47.6,7.9,185
Canvas,24.2,90.3,47.2,8.9,191
Canvas,24.1,91.5,47.3,6.5,196
Canvas,24.0,88.6,47.4,7.9,193
Canvas,24.2,88.3,47.5,8.1,197
Canvas,24.2,91.1,47.1,9.6,199
Canvas,24.1,91.7,47.8,7.4,179
Canvas,24.2,91.7,46.5,9.8,200
Canvas,24.1,90.5,47.3,5.3,193
Canvas,24.1,91.5,47.3,6.1,193
Canvas,24.2,91.2,47.7,6.7,192
Canvas,24.2,90.2,48.2,8.1,188
Canvas,24.1,91.7,47.6,8.0,200
Canvas,24.0,90.4,47.6,5.9,192
Canvas,24.2,90.0,47.0,8.3,193
Canvas,24.0,89.7,46.8,5.9,195
Canvas,24.0,89.6,47.5,7.4,185
Canvas,24.1,91.3,46.8,7.5,202
Canvas,24.2,90.2,48.4,5.2,194
Canvas,24.0,88.2,46.9,7.7,193
Canvas,24.2,91.3,47.1,5.4,198
Canvas,24.0,88.5,46.7,7.5,193
Canvas,24.2,90.7,48.4,5.7,179
Canvas,24.1,90.2,46.7,5.0,202
Canvas,24.1,89.9,47.3,5.1,201
Canvas,24.1,88.7,46.7,9.7,202
Canvas,24.1,89.5,47.0,5.5,199
Canvas,24.0,91.1,47.9,7.7,194
Canvas,24.0,89.1,47.2,8.8,193
Canvas,24.2,88.9,48.2,9.1,182
Canvas,24.1,91.8,46.9,8.9,193
Canvas,24.1,90.9,47.3,7.8,197
Canvas,24.2,88.2,47.9,5.7,188
Canvas,24.1,90.1,47.3,7.5,189
Canvas,24.0,88.6,48.4,9.3,190
Canvas,24.2,91.9,46.9,6.7,199
Canvas,24.1,89.4,47.7,7.8,200
Canvas,24.0,89.8,47.6,7.8,194
Canvas,24.0,89.4,48.1,7.8,182
Canvas,24.1,90.7,47.6,8.9,196
Canvas,24.1,88.5,47.0,7.1,202
Canvas,24.1,90.0,47.1,5.0,186
Canvas,24.1,88.1,47.7,9.6,187
Canvas,24.0,89.8,46.7,8.1,188
Canvas,24.1,91.5,46.9,5.1,202
Canvas,24.2,90.3,48.3,7.9,184
Canvas,24.1,91.6,47.6,5.9,200
Canvas,24.1,88.8,47.0,6.5,202
Canvas,24.1,90.4,46.7,5.4,202
Canvas,24.0,90.0,46.9,6.4,202
Canvas,24.0,90.5,47.8,8.9,188
Canvas,24.2,88.1,46.8,9.3,202
Canvas,24.1,90.6,48.4,9.9,177
Canvas,24.1,89.1,48.3,5.2,185
Canvas,24.1,88.9,46.8,9.2,196
Canvas,24.1,90.6,47.0,8.7,194
Canvas,24.1,88.8,48.5,8.2,187
Canvas,24.2,89.2,48.1,8.8,180
Canvas,24.1,90.8,47.7,6.0,190
Canvas,24.1,89.2,47.4,8.2,188
Canvas,24.1,89.0,46.9,8.8,200
Canvas,24.2,89.4,48.0,9.4,185
Canvas,24.2,89.5,47.2,5.3,196
Canvas,24.1,88.4,47.0,6.6,195
Canvas,24.1,91.3,48.2,8.7,189
Canvas,24.0,90.7,48.4,8.3,185
Canvas,24.1,90.0,46.7,6.5,189
Canvas,24.2,91.4,46.8,9.7,202
Canvas,24.2,91.2,48.4,6.5,179
Canvas,24.2,88.5,47.9,8.6,180
Canvas,24.2,88.7,46.6,8.5,202
Canvas,24.1,91.3,47.3,5.8,197
Canvas,24.0,90.8,47.5,8.0,199
Canvas,24.1,91.2,48.2,8.5,194
Canvas,24.1,91.4,48.0,5.6,195
Canvas,24.1,91.5,46.6,9.7,202
Canvas,24.1,89.0,48.4,6.5,190
Canvas,24.2,89.5,46.8,5.1,200
Canvas,24.1,89.4,47.2,7.6,194
Canvas,24.1,91.4,47.5,7.5,193
Canvas,24.1,90.3,47.3,7.1,194
Canvas,24.2,88.8,48.1,8.2,179
Canvas,24.1,90.9,47.5,6.6,182
Canvas,24.1,91.9,47.4,9.5,193
Canvas,24.0,89.6,46.9,5.0,196
Canvas,24.2,91.3,48.0,5.8,191
Canvas,24.1,88.5,47.5,6.7,191
Canvas,24.1,90.4,47.9,5.5,195
Canvas,24.1,89.7,47.9,7.5,186
Canvas,24.2,91.4,46.5,8.8,202
Canvas,24.1,91.8,48.0,6.2,190
Canvas,24.1,91.9,48.2,5.5,184
Canvas,24.0,89.6,47.0,9.0,202
Canvas,24.1,91.2,46.5,6.5,199
Canvas,24.0,88.7,47.6,6.4,185
Canvas,24.1,89.5,48.3,9.4,174
Canvas,24.0,91.7,46.6,6.5,202
Canvas,24.1,89.2,46.8,8.8,199
Canvas,24.0,88.3,48.3,5.9,178
Canvas,24.2,90.1,46.7,9.7,202
Canvas,24.0,91.3,46.5,7.5,201
Canvas,24.2,91.6,48.3,9.0,186
Canvas,24.1,89.1,47.3,6.9,194
Canvas,24.1,88.6,47.9,5.8,186
Canvas,24.2,90.9,47.8,5.8,181
Canvas,24.1,88.3,47.3,7.0,189
Canvas,24.0,89.5,48.4,5.7,183
Canvas,24.2,88.4,48.5,6.9,177
Canvas,24.1,88.7,46.8,9.6,202
Canvas,24.2,91.5,47.8,9.0,191
Canvas,24.1,90.5,47.2,5.7,193
Canvas,24.1,91.2,47.3,5.6,193
Canvas,24.1,90.5,47.7,8.4,187
Canvas,24.1,91.2,46.9,7.3,197
Canvas,24.0,91.4,47.2,8.4,199
Canvas,24.0,90.7,47.1,5.3,190
Canvas,24.1,88.3,46.8,6.5,199
Canvas,24.0,91.6,46.5,7.4,202
Canvas,24.2,88.6,48.4,6.0,178
Canvas,24.1,90.1,48.3,7.7,178
Canvas,24.0,91.6,47.2,6.8,198
Canvas,24.2,89.3,48.4,8.6,188
Canvas,24.0,89.0,47.4,6.1,193
Canvas,24.1,91.6,47.3,6.7,196
Canvas,24.1,89.4,48.3,7.8,187
Canvas,24.2,91.2,47.2,7.1,195
Canvas,24.2,91.7,47.7,8.6,198
Canvas,24.2,91.3,47.3,5.3,202
Canvas,24.1,90.9,47.2,8.1,191
Canvas,24.0,90.9,47.6,6.0,197
Canvas,24.1,88.8,48.4,8.5,178
Canvas,24.2,89.7,47.5,9.4,201
Canvas,24.1,89.7,46.7,6.0,200
Canvas,24.0,88.2,48.5,6.2,185
Canvas,24.1,88.6,48.0,7.9,188
Canvas,24.1,91.0,48.5,7.8,191
Canvas,24.0,91.5,46.7,6.6,195
Canvas,24.2,90.3,47.3,7.3,192
Canvas,24.2,88.3,48.1,9.2,189
Canvas,24.0,89.7,46.8,8.5,202
Canvas,24.0,88.8,46.6,6.6,201
Canvas,24.1,91.3,47.8,7.1,191
Canvas,24.1,88.2,48.0,5.6,189
Canvas,24.1,90.1,47.6,7.9,189
Canvas,24.1,91.8,48.0,9.5,185
Canvas,24.2,90.3,46.9,8.3,202
Canvas,24.1,90.1,47.2,7.5,202
Canvas,24.0,91.1,46.9,5.4,202
Canvas,24.1,89.1,47.6,6.7,186
Canvas,24.2,91.6,47.5,6.6,184
Canvas,24.2,88.0,47.6,8.6,186
Canvas,24.1,88.3,48.4,7.5,175
Canvas,24.1,89.7,46.6,5.5,202
Canvas,24.2,88.9,46.9,7.5,191
Canvas,24.0,88.2,48.2,5.6,184
Canvas,24.0,89.7,48.2,6.3,183
Canvas,24.1,90.3,47.6,6.6,191
Canvas,24.1,88.4,47.2,5.5,200
Canvas,24.1,90.5,47.4,7.4,198
Canvas,24.2,89.1,47.1,9.5,194
Canvas,24.2,90.4,47.6,6.2,188
Canvas,24.1,91.3,47.6,7.5,193
Canvas,24.1,88.3,47.9,9.6,188
Canvas,24.1,88.5,47.7,8.8,193
Canvas,24.1,91.5,47.7,5.6,191
Canvas,24.1,88.8,48.3,8.7,177
Canvas,24.0,91.0,47.4,6.1,200
Canvas,24.1,88.2,47.2,7.3,190
Canvas,24.0,91.0,47.4,7.8,193
Canvas,24.0,88.1,47.4,9.0,194
Canvas,24.1,91.2,46.8,9.6,200
Canvas,24.2,91.7,47.9,6.8,190
Canvas,24.1,90.7,48.0,9.6,190
Canvas,24.0,91.1,48.0,5.3,182
Canvas,24.1,91.8,47.8,8.5,188
Canvas,24.2,89.5,48.1,7.1,185
Canvas,24.2,88.9,47.2,8.7,194
Canvas,24.1,90.4,47.4,8.6,192
Canvas,24.0,89.4,47.3,5.3,183
Canvas,24.1,91.4,46.8,7.9,196
Canvas,24.1,89.6,47.5,5.0,200
Mesh,25.3,75.9,43.6,0.6,174
Mesh,25.3,76.6,44.9,0.9,166
Mesh,25.3,76.5,44.4,0.7,170
Mesh,25.3,74.2,45.2,0.7,157
Mesh,25.2,75.6,44.3,1.3,170
Mesh,25.3,74.2,45.4,0.8,153
Mesh,25.2,75.4,45.2,0.5,158
Mesh,25.2,76.3,44.4,0.3,167
Mesh,25.2,75.0,45.4,0.5,157
Mesh,25.2,76.6,44.4,1.1,170
Mesh,25.3,74.1,43.7,1.1,166
Mesh,25.2,74.1,45.0,0.2,156
Mesh,25.2,75.8,44.4,0.0,169
Mesh,25.2,75.6,44.5,0.6,167
Mesh,25.3,76.6,44.2,0.9,155
Mesh,25.2,76.8,43.8,0.9,177
Mesh,25.2,74.8,44.3,1.5,167
Mesh,25.2,74.4,44.4,0.8,161
Mesh,25.2,74.9,43.7,0.5,176
Mesh,25.3,74.0,45.1,1.4,148
Mesh,25.2,74.5,45.4,0.8,165
Mesh,25.3,76.9,44.1,0.8,169
Mesh,25.3,75.2,43.8,1.5,171
Mesh,25.3,74.7,44.6,1.0,169
Mesh,25.3,76.9,44.7,0.6,163
Mesh,25.2,75.0,44.4,1.2,168
Mesh,25.2,76.3,44.7,0.5,162
Mesh,25.2,75.5,44.0,0.0,174
Mesh,25.3,75.5,44.4,1.5,172
Mesh,25.2,75.7,45.2,0.9,161
Mesh,25.3,75.1,43.7,0.7,177
Mesh,25.2,76.8,45.4,0.4,159
Mesh,25.2,76.6,45.4,0.7,161
Mesh,25.3,74.8,45.0,0.1,150
Mesh,25.2,75.1,44.2,0.5,158
Mesh,25.2,74.9,45.4,0.6,156
Mesh,25.2,75.7,45.5,0.4,163
Mesh,25.3,74.3,44.9,0.1,165
Mesh,25.3,76.1,43.9,1.3,165
Mesh,25.2,76.8,43.6,0.3,175
Mesh,25.2,75.8,44.6,0.2,160
Mesh,25.2,75.2,44.9,0.3,158
Mesh,25.2,75.1,45.5,1.4,153
Mesh,25.2,74.9,44.0,0.8,173
Mesh,25.3,76.5,45.2,0.5,156
Mesh,25.2,76.0,43.5,0.6,179
Mesh,25.2,76.0,45.0,0.5,159
Mesh,25.2,76.1,44.9,1.5,168
Mesh,25.2,75.9,44.7,1.4,167
Mesh,25.3,74.8,44.4,0.5,162
Mesh,25.3,76.6,44.6,0.9,164
Mesh,25.2,75.4,44.1,0.3,169
Mesh,25.3,74.9,44.0,0.7,171
Mesh,25.2,76.3,45.1,1.2,165
Mesh,25.2,75.9,45.2,0.9,157
Mesh,25.3,74.1,44.8,0.1,171
Mesh,25.2,74.8,44.6,0.2,169
Mesh,25.2,74.3,43.8,1.3,173
Mesh,25.3,75.4,43.7,1.0,174
Mesh,25.3,74.2,43.7,0.1,171
Mesh,25.2,74.4,44.0,0.6,169
Mesh,25.3,76.1,43.7,1.1,177
Mesh,25.2,75.9,44.2,1.5,165
Mesh,25.3,74.1,44.9,1.1,155
Mesh,25.3,76.8,45.5,0.1,161
Mesh,25.3,74.4,44.8,1.5,166
Mesh,25.3,75.3,43.6,0.5,176
Mesh,25.2,74.2,44.4,0.7,169
Mesh,25.3,75.9,44.1,0.8,168
Mesh,25.2,76.0,44.8,1.1,153
Mesh,25.2,74.9,43.8,1.0,171
Mesh,25.3,76.6,44.4,0.7,166
Mesh,25.2,75.9,45.1,0.4,167
Mesh,25.3,74.7,44.6,0.3,162
Mesh,25.2,76.6,45.1,1.1,153
Mesh,25.3,74.3,45.0,0.9,155
Mesh,25.2,74.5,43.9,0.1,175
Mesh,25.2,74.1,44.6,1.2,164
Mesh,25.2,75.0,44.7,0.4,169
Mesh,25.3,76.0,43.9,0.5,179
Mesh,25.2,74.4,44.9,1.3,161
Mesh,25.2,74.3,45.1,0.9,160
Mesh,25.3,76.3,44.9,1.3,161
Mesh,25.3,74.9,45.4,0.1,160
Mesh,25.3,74.5,44.9,0.3,160
Mesh,25.3,74.6,43.8,1.1,162
Mesh,25.3,76.6,43.8,1.0,171
Mesh,25.3,75.7,45.0,0.5,159
Mesh,25.2,75.2,45.5,0.4,151
Mesh,25.3,74.7,45.3,0.4,150
Mesh,25.3,74.3,44.8,1.4,164
Mesh,25.3,74.9,43.9,0.5,170
Mesh,25.2,74.4,43.7,0.6,169
Mesh,25.2,75.9,43.9,0.1,174
Mesh,25.2,76.7,45.1,0.5,165
Mesh,25.3,76.0,44.8,0.4,174
Mesh,25.2,75.3,45.3,0.9,161
Mesh,25.3,76.8,45.5,1.0,155
Mesh,25.2,76.3,43.7,1.2,173
Mesh,25.3,75.2,44.4,0.5,170
Mesh,25.3,76.7,45.4,0.3,162
Mesh,25.2,74.2,44.0,1.4,171
Mesh,25.3,76.1,44.0,1.1,171
Mesh,25.3,74.4,45.1,0.4,157
Mesh,25.3,75.2,44.7,0.2,167
Mesh,25.3,74.6,44.0,1.0,166
Mesh,25.3,76.7,44.5,1.2,165
Mesh,25.2,76.4,44.3,0.1,168
Mesh,25.2,76.8,44.8,0.6,163
Mesh,25.2,74.2,43.7,0.9,175
Mesh,25.3,75.4,45.2,0.7,164
Mesh,25.2,75.0,44.8,0.1,167
Mesh,25.2,75.6,45.5,0.7,155
Mesh,25.3,75.7,45.3,0.6,165
Mesh,25.3,75.8,44.3,0.2,166
Mesh,25.2,76.1,44.1,0.8,173
Mesh,25.2,76.8,45.2,1.3,169
Mesh,25.2,74.0,43.5,0.9,169
Mesh,25.2,75.5,43.5,0.6,172
Mesh,25.3,74.7,45.1,0.9,167
Mesh,25.2,74.7,44.8,1.2,154
Mesh,25.3,75.9,44.4,0.7,165
Mesh,25.2,75.8,44.2,1.5,159
Mesh,25.3,76.7,45.1,0.7,148
Mesh,25.3,75.7,44.5,0.3,158
Mesh,25.3,75.0,45.4,0.8,156
Mesh,25.3,75.6,43.8,0.6,173
Mesh,25.2,76.3,43.9,0.2,169
Mesh,25.2,76.7,44.9,0.6,160
Mesh,25.3,75.9,44.1,0.9,170
Mesh,25.2,76.8,43.8,1.0,178
Mesh,25.3,76.0,44.7,1.3,160
Mesh,25.2,75.0,44.0,1.5,177
Mesh,25.3,74.6,44.0,0.4,165
Mesh,25.2,74.7,43.5,1.3,173
Mesh,25.2,74.0,44.9,1.2,161
Mesh,25.2,74.5,45.1,0.9,159
Mesh,25.2,75.1,45.0,1.2,158
Mesh,25.2,76.7,44.3,1.2,174
Mesh,25.3,74.3,45.4,1.2,155
Mesh,25.3,74.6,45.1,1.3,159
Mesh,25.2,74.4,44.6,0.9,163
Mesh,25.3,74.0,45.4,0.1,159
Mesh,25.3,76.4,43.5,0.8,177
Mesh,25.2,75.4,43.6,1.0,179
Mesh,25.2,74.4,44.8,0.3,161
Mesh,25.3,75.8,43.8,1.4,169
Mesh,25.3,74.7,45.1,1.2,159
Mesh,25.3,75.5,44.4,1.1,167
Mesh,25.3,74.3,44.3,1.3,160
Mesh,25.3,74.3,43.7,0.4,168
Mesh,25.3,75.0,45.1,0.4,161
Mesh,25.3,74.7,44.9,1.3,156
Mesh,25.2,74.5,44.9,1.1,162
Mesh,25.2,75.5,45.1,1.4,164
Mesh,25.3,75.1,45.2,0.7,159
Mesh,25.2,75.4,45.2,1.2,151
Mesh,25.2,75.7,44.0,1.2,166
Mesh,25.2,75.0,43.7,0.4,171
Mesh,25.2,75.3,44.1,0.1,170
Mesh,25.2,75.6,44.6,0.5,168
Mesh,25.2,74.7,44.0,0.7,168
Mesh,25.3,74.6,44.9,0.0,168
Mesh,25.2,75.6,43.9,1.1,169
Mesh,25.2,76.5,43.9,1.3,179
Mesh,25.2,76.6,43.8,0.3,170
Mesh,25.2,74.2,43.9,1.4,168
Mesh,25.3,75.6,44.0,1.1,172
Mesh,25.3,76.9,44.0,1.0,176
Mesh,25.3,74.9,43.8,0.4,174
Mesh,25.2,76.2,44.6,0.1,169
Mesh,25.3,76.3,44.4,0.5,167
Mesh,25.2,76.5,45.1,0.3,149
Mesh,25.3,76.7,44.7,0.8,179
Mesh,25.2,74.2,43.9,0.0,173
Mesh,25.2,76.4,43.8,0.5,178
Mesh,25.2,75.1,44.0,0.7,170
Mesh,25.2,74.4,43.6,0.9,172
Mesh,25.2,76.4,44.5,0.8,161
Mesh,25.2,74.9,44.7,0.3,164
Mesh,25.2,76.8,43.5,1.2,174
Mesh,25.2,74.4,44.9,1.0,165
Mesh,25.3,76.7,44.9,0.2,167
Mesh,25.2,74.2,44.9,0.6,157
Mesh,25.3,75.9,43.7,1.4,170
Mesh,25.2,74.1,44.5,0.2,157
Mesh,25.2,75.0,45.0,1.2,158
Mesh,25.2,74.4,45.1,1.1,153
Mesh,25.2,75.1,43.7,0.9,170
Mesh,25.3,76.6,44.6,0.3,173
Mesh,25.2,76.4,44.8,1.0,173
Mesh,25.3,75.8,43.8,1.2,174
Mesh,25.3,74.2,44.4,0.3,170
Mesh,25.3,75.9,45.2,0.3,149
Mesh,25.2,76.5,43.8,1.5,174
Mesh,25.3,74.3,44.1,1.0,173
Mesh,25.2,76.7,43.6,0.8,179
Mesh,25.2,75.1,45.2,0.3,164
Mesh,25.3,75.6,45.0,1.1,163
Mesh,25.3,75.3,45.4,0.7,150
Mesh,25.2,75.1,45.4,0.5,154
Mesh,25.3,74.9,45.1,0.7,158
Mesh,25.2,76.3,44.3,0.7,162
Mesh,25.3,76.3,44.2,0.8,163
Mesh,25.3,74.8,44.1,1.4,171
Mesh,25.3,74.1,44.7,0.8,170
Mesh,25.3,75.0,43.7,0.3,171
Mesh,25.2,74.2,43.6,1.1,174
Mesh,25.3,75.5,44.0,1.1,168
Mesh,25.2,74.8,44.0,1.0,167
Mesh,25.3,76.4,44.3,0.1,177
Mesh,25.2,75.5,43.6,0.9,177
Mesh,25.3,76.8,44.6,0.7,168
Mesh,25.2,75.4,44.0,0.7,172
Mesh,25.2,75.7,44.2,0.2,175
Mesh,25.3,75.0,45.4,1.4,157
Mesh,25.2,74.1,45.0,1.2,162
Mesh,25.2,74.7,44.4,0.9,177
Mesh,25.3,76.2,44.1,0.8,170
Mesh,25.3,76.0,45.5,0.4,154
Mesh,25.2,75.0,44.4,1.3,169
Mesh,25.2,76.5,43.6,1.3,177
Mesh,25.2,74.9,44.5,1.4,164
Mesh,25.3,75.1,43.9,0.6,168
Mesh,25.2,76.7,45.0,0.8,163
Mesh,25.2,74.8,44.4,0.2,167
Mesh,25.3,76.2,44.0,0.9,172
Mesh,25.3,75.5,45.0,0.8,162
Mesh,25.3,74.3,43.8,0.8,175
Mesh,25.3,75.4,43.6,0.8,179
Mesh,25.3,76.9,44.4,0.5,162
